family,model,total_time,method,resolution,gate_proxy,spectral_error,trace_fidelity
TFIM,TFIM_4q_J2.0_h0.5,1.5,prl_cartan_fit,2,9,1.2813631907616556,0.4211948206384337
TFIM,TFIM_4q_J2.0_h0.5,1.5,prl_cartan_fit,4,17,1.2785169600434694,0.42351017368720884
TFIM,TFIM_4q_J2.0_h0.5,1.5,prl_cartan_fit,6,25,1.3458464753440769,0.3722533001067263
TFIM,TFIM_4q_J2.0_h0.5,1.5,cartan_qaoa_fit,2,9,1.000040088264031,0.582548183980036
TFIM,TFIM_4q_J2.0_h0.5,1.5,cartan_qaoa_fit,4,17,0.9979726003268065,0.5832793084019648
TFIM,TFIM_4q_J2.0_h0.5,1.5,cartan_qaoa_fit,6,25,1.0183263297834835,0.6773431534535418
TFIM,TFIM_4q_J3.0_h0.25,0.5,trotter1,2,4,0.13863249615970555,0.9916161737491405
TFIM,TFIM_4q_J3.0_h0.25,0.5,trotter1,4,8,0.06687903171409201,0.99800896030501
TFIM,TFIM_4q_J3.0_h0.25,0.5,trotter1,6,12,0.044314142732170374,0.9991230188074577
TFIM,TFIM_4q_J3.0_h0.25,0.5,suzuki2,2,6,0.021515887644723286,0.9998300930350117
TFIM,TFIM_4q_J3.0_h0.25,0.5,suzuki2,4,12,0.004978611552984509,0.9999906977679537
TFIM,TFIM_4q_J3.0_h0.25,0.5,suzuki2,6,18,0.002184227445853089,0.9999982035537546
TFIM,TFIM_4q_J3.0_h0.25,0.5,cartan_restricted,2,6,0.2649009094795463,0.978489517441491
TFIM,TFIM_4q_J3.0_h0.25,0.5,cartan_restricted,4,12,0.26490090947954825,0.9784895174414906
TFIM,TFIM_4q_J3.0_h0.25,0.5,cartan_restricted,6,18,0.26490090947954975,0.978489517441491
TFIM,TFIM_4q_J3.0_h0.25,0.5,lc_qaoa,2,6,0.09104906979215951,0.9971085433531491
TFIM,TFIM_4q_J3.0_h0.25,0.5,lc_qaoa,4,12,0.020160877692931452,0.9998494575838197
TFIM,TFIM_4q_J3.0_h0.25,0.5,lc_qaoa,6,18,0.008783302965879761,0.999971119605118
TFIM,TFIM_4q_J3.0_h0.25,0.5,alt_qaoa_fit,2,4,0.09185559567172756,0.9974727172674627
TFIM,TFIM_4q_J3.0_h0.25,0.5,alt_qaoa_fit,4,8,0.001708570064425879,0.9999992000974302
TFIM,TFIM_4q_J3.0_h0.25,0.5,alt_qaoa_fit,6,12,0.0006624758646664223,0.9999998848008782
TFIM,TFIM_4q_J3.0_h0.25,0.5,prl_cartan_fit,2,9,0.31851064078214253,0.965691370699093
TFIM,TFIM_4q_J3.0_h0.25,0.5,prl_cartan_fit,4,17,0.31851719382282845,0.9656906055731499
TFIM,TFIM_4q_J3.0_h0.25,0.5,prl_cartan_fit,6,25,0.318521233245797,0.9656903185877216
TFIM,TFIM_4q_J3.0_h0.25,0.5,cartan_qaoa_fit,2,9,0.24749814749877203,0.9819975244401056
